it w0 w1 ww1 w2 ww2 w10 w11 ww11 w12 ww12 w20 w21 ww21 w22 ww22 e
68 -0.6722996362786996 0.9217505282002283 -1.371041241822299 0.9171871773484461 -1.3642535676878296 0.6442592865641987 -0.8688467970309811 -1.348598018143434 0 0.0 0.6429579372931895 0 0.0 -0.8654254720564909 -1.346006358829436 0.12332857421256416
69 -0.6875148515841458 0.9383477724594307 -1.3648400035247603 0.933547910151583 -1.3578585364382123 0.6557297469666497 -0.8714203559323273 -1.3289321705526462 0 0.0 0.6543501688500913 0 0.0 -0.8678973635133475 -1.3263500260701833 0.12317028212588577
70 -0.702845667162535 0.9549348466340531 -1.3586693227963256 0.9498895697947614 -1.3514909661883092 0.6671919910276379 -0.8739869547785413 -1.3099482106078473 0 0.0 0.6657319503418386 0 0.0 -0.8703600973992378 -1.3073731806807938 0.12301093428484007
71 -0.7182907756505383 0.9715103683510925 -1.3525307595259306 0.9662106109107471 -1.3451524698137378 0.6786454783941778 -0.8765467573080367 -1.291612167493013 0 0.0 0.6771027398601683 0 0.0 -0.8728138192290418 -1.2890419250249832 0.12285055156594282
72 -0.7338488545624932 0.988072950022976 -1.346425689540725 0.9825094845201394 -1.3388444751418098 0.6900896786285801 -0.8790998907413161 -1.2738922461329336 0 0.0 0.6884620072599029 0 0.0 -0.8752586389707292 -1.2713245316967916 0.12268915548100752
73 -0.7495185662218146 1.0046211994892538 -1.340355322421651 0.9987846388601617 -1.3325682429654166 0.701524070944947 -0.8816464497346755 -1.256758657685267 0 0.0 0.6998092339362286 0 0.0 -0.8776946350611885 -1.2541912745626476 0.1225267681489511
74 -0.7652985577315123 1.0211537206980923 -1.3343207175575795 1.01503452025612 -1.3263248832780654 0.7129481440042548 -0.8841864999582536 -1.2401834655073833 0 0.0 0.7111439126586014 0 0.0 -0.8801218580461483 -1.2376142752257067 0.1223634122675339
75 -0.7811874609864609 1.0376691144228627 -1.3283227986180477 1.0312575740304037 -1.3201153699115467 0.7243613957607935 -0.8867200813367349 -1.224140444985223 0 0.0 0.7224655474539032 0 0.0 -0.8825403338823554 -1.2215673633055364 0.12219911108498947
76 -0.7971838927292773 1.0541659790096116 -1.3223623666059259 1.0474522454443933 -1.3139405537388433 0.7357633333535163 -0.8892472109868949 -1.2086049557998744 0 0.0 0.733773653532253 0 0.0 -0.8849500669360486 -1.2060259491139533 0.12203388837150692
77 -0.8132864546509586 1.0706429111516276 -1.3164401116346143 1.0636169806690565 -1.3078011745880278 0.7471534730365502 -0.8917678858825001 -1.1935538253716655 0 0.0 0.7450677572495835 0 0.0 -0.8873510427081105 -1.1909669074712956 0.12186776839054007
